,Home Team,Away Team,Home Goals,Away Goals,Home Ast,Away Ast,Home xG,Away xG
297,Union Berlin,Bochum,3,2,1,2,2.7,0.2
298,Wolfsburg,Bayern Munich,2,2,2,2,1.5,2.1
299,Mönchengladbach,Hoffenheim,5,1,2,1,3.3,1.6
300,Stuttgart,Köln,2,1,2,0,4.1,1.2
301,Augsburg,Greuther Fürth,2,1,1,1,1.1,0.5
302,Arminia,RB Leipzig,1,1,1,1,1.7,3.1
303,Mainz 05,Eintracht Frankfurt,2,2,1,1,1.3,1.8
304,Dortmund,Hertha BSC,2,1,1,0,1.4,1.0
305,Eintracht Frankfurt,Bayern Munich,1,6,0,4,0.9,4.0
306,Augsburg,Freiburg,0,4,0,2,0.7,1.2
307,Wolfsburg,Werder Bremen,2,2,1,2,1.0,0.8
308,Union Berlin,Hertha BSC,3,1,3,1,1.0,0.3
309,Bochum,Mainz 05,1,2,1,2,0.9,1.4
310,Mönchengladbach,Hoffenheim,3,1,3,1,2.0,0.1
311,Dortmund,Bayer Leverkusen,1,0,0,0,1.8,1.3
312,Stuttgart,RB Leipzig,1,1,1,1,0.8,1.7
313,Köln,Schalke 04,3,1,2,1,4.4,0.2
314,Freiburg,Dortmund,1,3,1,2,1.0,1.1
315,RB Leipzig,Köln,2,2,2,1,1.0,1.5
316,Bayer Leverkusen,Augsburg,1,2,0,1,2.6,0.4
317,Hertha BSC,Eintracht Frankfurt,1,1,1,1,1.7,1.6
318,Hoffenheim,Bochum,3,2,2,2,2.7,1.5
319,Schalke 04,Mönchengladbach,2,2,1,1,1.4,1.3
320,Werder Bremen,Stuttgart,2,2,2,2,0.5,1.4
321,Mainz 05,Union Berlin,0,0,0,0,0.7,0.4
322,Bayern Munich,Wolfsburg,2,0,1,0,2.2,0.5
323,Mönchengladbach,Hertha BSC,1,0,0,0,2.7,1.0
324,Wolfsburg,Schalke 04,0,0,0,0,1.3,1.1
325,Dortmund,Werder Bremen,2,3,2,2,0.5,1.3
326,Bayer Leverkusen,Hoffenheim,0,3,0,2,1.2,1.5
327,Union Berlin,RB Leipzig,2,1,2,1,0.7,0.9
328,Stuttgart,Freiburg,0,1,0,1,0.9,0.6
329,Augsburg,Mainz 05,1,2,1,2,0.5,2.2
330,Bochum,Bayern Munich,0,7,0,4,0.7,3.2
331,Eintracht Frankfurt,Köln,1,1,0,0,0.9,0.3
332,Freiburg,Bochum,1,0,0,0,4.2,1.3
333,Hoffenheim,Augsburg,1,0,1,0,1.9,0.6
334,Schalke 04,Union Berlin,1,6,0,4,1.9,1.1
335,Bayern Munich,Mönchengladbach,1,1,1,0,2.8,0.5
336,Mainz 05,Bayer Leverkusen,0,3,0,1,1.4,1.9
337,Hertha BSC,Dortmund,0,1,0,1,0.5,2.7
338,RB Leipzig,Wolfsburg,2,0,0,0,3.5,0.5
339,Werder Bremen,Eintracht Frankfurt,3,4,1,3,1.8,1.8
340,Köln,Stuttgart,0,0,0,0,0.6,2.2
341,Dortmund,Hoffenheim,1,0,1,0,2.0,0.5
342,Eintracht Frankfurt,RB Leipzig,4,0,2,0,3.1,0.2
343,Bayer Leverkusen,Freiburg,2,3,1,3,1.8,1.9
344,Stuttgart,Schalke 04,1,1,1,1,0.6,2.3
345,Bochum,Werder Bremen,0,2,0,1,0.8,2.0
346,Wolfsburg,Köln,2,4,2,2,1.0,2.7
347,Union Berlin,Bayern Munich,1,1,1,0,0.3,1.5
348,Augsburg,Hertha BSC,0,2,0,2,0.4,2.1
349,Mönchengladbach,Mainz 05,0,1,0,0,1.2,0.6
350,Werder Bremen,Augsburg,0,1,0,1,1.5,1.0
351,Hoffenheim,Mainz 05,4,1,4,0,4.3,0.7
