Home Team,Away Team,Home Goals,Away Goals,Home Ast,Away Ast,Home xG,Away xG,home_Gls,home_Sh,away_Gls,away_Sh
Mönchengladbach,Eintracht Frankfurt,1,1,1,1,0.4,1.6,55,451,48,402
Freiburg,Heidenheim,1,1,1,1,1.5,0.7,43,392,46,392
Mainz 05,Dortmund,3,0,2,0,2.2,0.4,38,476,68,506
RB Leipzig,Werder Bremen,1,1,1,0,1.5,1.1,74,528,45,407
Bochum,Bayer Leverkusen,0,5,0,4,0.3,4.3,41,524,87,611
Darmstadt 98,Hoffenheim,0,6,0,6,0.6,3.3,28,404,65,457
Bayern Munich,Wolfsburg,2,0,2,0,0.3,0.2,93,633,41,411
Union Berlin,Freiburg,2,1,1,1,2.4,1.0,33,403,43,392
Heidenheim,Köln,4,1,2,0,1.0,2.3,46,392,28,441
Hoffenheim,Bayern Munich,4,2,3,2,1.8,1.5,65,457,93,633
Eintracht Frankfurt,RB Leipzig,2,2,1,1,2.1,1.6,48,402,74,528
Dortmund,Darmstadt 98,4,0,2,0,2.6,0.3,68,506,28,404
Wolfsburg,Mainz 05,1,3,1,2,0.8,1.8,41,411,38,476
Werder Bremen,Bochum,4,1,3,1,3.1,2.1,45,407,41,524
Bayer Leverkusen,Augsburg,2,1,1,1,2.4,1.2,87,611,49,429
Stuttgart,Mönchengladbach,4,0,4,0,1.6,1.5,78,529,55,451
